2026-07-16 21:29:04,950 | INFO | Iniciando processo de correção do SPED.
2026-07-16 21:30:28,987 | INFO | XMLs carregados: 3127
2026-07-16 21:30:28,988 | INFO | XMLs com erro: 0
2026-07-16 21:30:29,019 | INFO | CT-es corrigidos: 1707
2026-07-16 21:30:29,019 | INFO | CT-es não encontrados: 7
2026-07-16 21:30:29,022 | INFO | SPED salvo em: C:\FiscalPro\samples\ArquivoSPEDFiscal (46) (1)_CORRIGIDO.txt
2026-07-16 21:58:10,957 | INFO | Iniciando processo de correção do SPED.
2026-07-16 21:58:13,208 | INFO | XMLs carregados: 3127
2026-07-16 21:58:13,208 | INFO | XMLs com erro: 0
2026-07-16 21:58:13,218 | INFO | CT-es corrigidos: 1707
2026-07-16 21:58:13,219 | INFO | CT-es não encontrados: 7
2026-07-16 21:58:13,220 | INFO | SPED salvo em: C:\FiscalPro\samples\ArquivoSPEDFiscal (46) (1)_CORRIGIDO.txt
2026-07-16 22:04:38,420 | INFO | Iniciando processo de correção do SPED.
2026-07-16 22:04:40,253 | INFO | XMLs carregados: 3127
2026-07-16 22:04:40,253 | INFO | XMLs com erro: 0
2026-07-16 22:04:40,262 | INFO | CT-es corrigidos: 1707
2026-07-16 22:04:40,262 | INFO | CT-es não encontrados: 7
2026-07-16 22:04:40,263 | INFO | SPED salvo em: C:\FiscalPro\samples\ArquivoSPEDFiscal (46) (1)_CORRIGIDO.txt
2026-07-19 09:17:57,921 | INFO | Iniciando processo de correção do SPED.
2026-07-19 09:17:59,956 | INFO | XMLs carregados: 3127
2026-07-19 09:17:59,956 | INFO | XMLs com erro: 0
2026-07-19 09:17:59,960 | INFO | CT-es corrigidos: 1707
2026-07-19 09:17:59,960 | INFO | CT-es não encontrados: 7
2026-07-19 09:17:59,961 | INFO | SPED salvo em: C:\FiscalPro\samples\ArquivoSPEDFiscal (46) (1)_CORRIGIDO.txt
2026-07-19 09:18:15,832 | INFO | Iniciando processo de correção do SPED.
2026-07-19 09:18:16,553 | INFO | XMLs carregados: 3127
2026-07-19 09:18:16,553 | INFO | XMLs com erro: 0
2026-07-19 09:18:16,557 | INFO | CT-es corrigidos: 1707
2026-07-19 09:18:16,557 | INFO | CT-es não encontrados: 7
2026-07-19 09:18:16,558 | INFO | SPED salvo em: C:\FiscalPro\samples\ArquivoSPEDFiscal (46) (1)_CORRIGIDO.txt
2026-07-19 09:19:33,191 | INFO | Iniciando processo de correção do SPED.
2026-07-19 09:19:34,726 | INFO | XMLs carregados: 3127
2026-07-19 09:19:34,726 | INFO | XMLs com erro: 0
2026-07-19 09:19:34,731 | INFO | CT-es corrigidos: 1707
2026-07-19 09:19:34,731 | INFO | CT-es não encontrados: 7
2026-07-19 09:19:34,732 | INFO | SPED salvo em: C:\FiscalPro\samples\ArquivoSPEDFiscal (46) (1)_CORRIGIDO.txt
2026-07-19 09:54:34,827 | INFO | Iniciando processo de correção do SPED.
2026-07-19 09:55:03,292 | INFO | XMLs carregados: 3127
2026-07-19 09:55:03,293 | INFO | XMLs com erro: 0
2026-07-19 09:55:03,297 | INFO | CT-es corrigidos: 1707
2026-07-19 09:55:03,297 | INFO | CT-es não encontrados: 7
2026-07-19 09:55:03,298 | INFO | SPED salvo em: C:\FiscalPro\samples\ArquivoSPEDFiscal (46) (1)_CORRIGIDO.txt
